,ARDRegression,BayesianRidge,ElasticNet,HuberRegressor,Lars,Lasso,LassoLars,RANSACRegressor,DecisionTree,RandomForest20,RandomForest100,RandomForest200,XGBRegressor,XGBRegressor_n1000_r05
0,0.035109243437768334,0.030461842388349192,0.037657200953081005,0.02658571691722617,0.037599045468637335,0.03684693046820144,0.16293373478753892,0.05008659365949067,0.05027576100103947,0.01897652738323413,0.022332451514078623,0.02609403349140704,0.019442997551251544,0.02038431351459039
1,0.030252469911504792,0.044598558355572145,0.027777687662105786,0.04953561658388672,0.03387174271078428,0.05941545528002262,0.1484579699811584,0.018758554626663308,0.05285047985181902,0.02383632911290951,0.021431911485343423,0.021051261924430145,0.025193339409525534,0.018827108459860006
2,0.03406082747308193,0.016841463903697614,0.046936590176410296,0.03301163971962494,0.02337022852924621,0.03424585149706073,0.17859842214977775,0.024804441429786606,0.04189821444002257,0.026723997575229527,0.022124174629168086,0.021830141483390433,0.018332982169119445,0.017803952490006433
3,0.03377490328484908,0.03269321569300073,0.05043516025188741,0.055232952570846906,0.04078361617893278,0.06464943276357722,0.15167062211800655,0.019651133599897296,0.04550429316826098,0.02595093412459297,0.01705674140422176,0.01868794969596892,0.02174237549015913,0.014161000903541525
4,0.03135449677885587,0.0205338311264408,0.031640087915194966,0.05610441865967597,0.019871140730810026,0.03233873146579419,0.1483349374885755,0.02765183521675648,0.04989476402066453,0.019168565646652924,0.023288446074405018,0.0194444592352312,0.01623511381375674,0.0188220469123124
5,0.03397785402429405,0.022455736096004243,0.027676425055059302,0.02955807718613784,0.022104269962570682,0.034324617105687905,0.16985347858677513,0.016812953388609008,0.043459369916736115,0.02352409518334386,0.025420796288255616,0.02753600438022307,0.01923056189701584,0.01720160899840504
6,0.03455627167101128,0.04588730335107187,0.048722651073198286,0.03324776105108019,0.02248651958173975,0.03566251113725371,0.1681874570201437,0.022548072317238516,0.037193234495155374,0.024167716034142302,0.022358690113969522,0.019296591819308442,0.016673447940353338,0.017983982633678484
7,0.030227738420911397,0.01569774720299189,0.045845537967293126,0.05664041464976238,0.02710669917218578,0.03996576677724524,0.16436066443373962,0.01935300135356488,0.04890553395298039,0.028441518423220062,0.028674157540152463,0.020978003951171616,0.017435574967367723,0.02087438662287167
8,0.03920059786363933,0.023025135632823088,0.048680729307106554,0.06405951658468302,0.03463166250597559,0.027655230385302928,0.1759394592006925,0.05119937554673266,0.056107836221030764,0.029282809791567027,0.022635792878044986,0.018376968727598482,0.021829837170053604,0.022023328288160973
9,0.028963425781578435,0.02118640545322495,0.029910333640264325,0.030120050980562533,0.021688690361847566,0.06587329696948994,0.15235338250771915,0.056425410847352295,0.04384314534051748,0.019419347613570195,0.023105872117541462,0.01893907420260358,0.023613405993897524,0.018844471714684553
